run_index,profile_name,item_index,product_id,hybrid_score,hybrid_rank,in_hybrid_top7,value_price_pct,shap_price_pct,value_quality_pct,shap_quality_pct,value_popularity_pct,shap_popularity_pct,value_rating_pct,shap_rating_pct,value_recency_pct,shap_recency_pct,value_discount_pct,shap_discount_pct,value_rating_count,shap_rating_count,value_inferred_reviewer_count,shap_inferred_reviewer_count,value_review_text_richness,shap_review_text_richness,shap_base_value,shap_sum_plus_base
12,quality_seeker,251,B00BN5SNF0,0.28657232920199965,157,False,0.85375,0.04567860777170226,0.4525,-0.022818128841822858,0.79,0.005480994568579505,0.21,-0.013349876862020937,0.05625,-0.0035657375766313033,0.0,-0.002159634400317057,13971.0,0.003628902812845676,8.0,4.383619836874095e-05,1538.0,0.0027674275151995677,0.26994218349583693,0.28564857468174054
46,balanced,117,B09CTWFV5W,0.22367942287323195,256,False,0.1149999999999999,-0.06180369671672484,0.5175,0.0014817438773524515,0.275,-0.0020721356141705023,0.86625,0.007661350680027315,0.24625,-0.004249979123925191,28.0,-0.004063010488325289,1964.0,-0.00467351430991015,8.0,4.0955627326131014e-05,1476.0,0.020939625747278815,0.26994218349583693,0.22320352317476566
44,explorer,34,B0B5GF6DQD,0.003076408755922459,399,False,0.23375,-0.026475512495290083,0.0375,-0.1353936869784947,0.1675,-0.0007630387528731689,0.09,-0.0026308452608960523,0.7,0.021552033859482574,58.0,0.01957349535639442,828.0,-0.0018515376384186965,8.0,0.0001073698440015468,1122.0,0.006699081709098795,0.26994218349583693,0.15075954313884155
49,explorer,386,B06XSK3XL6,0.4100155972427166,42,False,0.6,0.051996035777785776,0.8825,0.11260950935089083,0.9375,0.004752983931961464,0.74375,0.0037178861952037005,0.43375,-0.005100827226219815,43.0,-0.0019193944926930902,38221.0,0.0093464753012621,8.0,4.0775644230519986e-05,1160.0,0.026687105343836948,0.26994218349583693,0.4720727333220953
1,budget,355,B07Z53L5QL,0.4067931214673797,42,False,0.62375,0.03952063027368906,0.9175,0.12652443350418394,0.755,0.0002159622199452075,0.73875,-0.00974594630117374,0.79125,-0.0007845064873225721,63.0,-0.00023772431291273224,11006.0,0.0018874637999190752,8.0,0.00018940307244560354,2000.0,-0.02781075161470843,0.26994218349583693,0.39970114764990233
9,quality_seeker,0,B0B2CZTCL2,0.08978632043704264,386,False,0.4125,-0.02890365210121793,0.1075,-0.11561458174470249,0.1025,-0.004671631155336193,0.14,-0.007021873508414794,0.31625,-0.0024216242668893715,35.0,-0.004184079796401265,311.0,-0.0026885855843689437,8.0,5.676397614104176e-05,2000.0,-0.018449881792675787,0.26994218349583693,0.0860430375219712
18,balanced,304,B00LHZWD0C,0.36664396604819693,49,False,0.83875,0.05241539513129867,0.7675,0.04681750705983392,0.4325,-0.003409283122735654,0.94875,0.009294321018728314,0.16625,-0.003976596875620236,20.0,-0.0031398493866019294,3785.0,0.0005267912502104745,8.0,8.776068744229887e-05,1651.0,0.0008566837605499295,0.26994218349583693,0.3694149130189427
34,loyal,215,B07B275VN9,0.18239946432077034,313,False,0.92375,0.0517108068983268,0.0525,-0.13804280528994248,0.305,-0.0023837977685726886,0.09125,-0.00645644767663913,0.93625,0.0038847245912408583,78.0,0.004630124871378367,2201.0,-0.00381161965715823,8.0,0.00013536358318858716,724.0,0.00977741946693043,0.26994218349583693,0.18938595251458945
1,budget,86,B09P18XVW6,0.17411720710358214,335,False,0.2212499999999999,-0.015396580847329647,0.3625,-0.00939240077530363,0.63125,0.011249260100293037,0.2125,-0.0013440528946187839,0.56625,0.007096330762928335,50.0,0.002908830522630686,7571.0,0.002235376133690029,8.0,6.050037084288664e-05,1780.0,0.021697100656089777,0.26994218349583693,0.2890565475250596
42,explorer,251,B0162K34H2,0.2649122264944203,224,False,0.5275000000000001,-0.006793699843920097,0.3925,-0.021902607696483226,0.595,0.0023233843692294824,0.46,0.004667200610134088,0.12375,5.218542951088709e-05,15.0,-0.0024263959052382724,6736.0,0.0017425970978917533,8.0,5.908859097813298e-05,1316.0,0.009550115784375346,0.26994218349583693,0.257214051932315
