diagnostic_status,lambda_q,lambda_t,profile,metric,mean,sample_sd,ci95_lo,ci95_hi,n_catalog_resamples,bootstrap_reps,bootstrap_seed
evaluation_only_posthoc_oracle_not_for_tuning,0.4,0.6,quality_seeker,f1_at_7,0.21142857142857138,0.1420971035553405,0.17428571428571424,0.24857142857142858,50,20000,948192648384683855
evaluation_only_posthoc_oracle_not_for_tuning,0.4,0.6,quality_seeker,ndcg_at_7,0.23458792803870585,0.16380906435346174,0.18994257928622396,0.27932586087542566,50,20000,1189532718511166047
evaluation_only_posthoc_oracle_not_for_tuning,0.4,0.6,explorer,f1_at_7,0.35428571428571426,0.16888294584144653,0.30857142857142855,0.4,50,20000,15530691249143567715
evaluation_only_posthoc_oracle_not_for_tuning,0.4,0.6,explorer,ndcg_at_7,0.3725483775168793,0.182005735690558,0.32206492356260963,0.42143144452159703,50,20000,17878148509484270253
evaluation_only_posthoc_oracle_not_for_tuning,0.4,0.6,loyal,f1_at_7,0.3142857142857143,0.16326530612244897,0.2714285714285714,0.36,50,20000,6737219057596538283
evaluation_only_posthoc_oracle_not_for_tuning,0.4,0.6,loyal,ndcg_at_7,0.34461074787458884,0.1810743844418685,0.2946898715772875,0.39446799045520387,50,20000,6629100702538127277
evaluation_only_posthoc_oracle_not_for_tuning,0.4,0.6,balanced,f1_at_7,0.5057142857142857,0.14491233041695292,0.4657142857142857,0.5457142857142857,50,20000,6040574227882921960
evaluation_only_posthoc_oracle_not_for_tuning,0.4,0.6,balanced,ndcg_at_7,0.5337219826587719,0.15402334417617353,0.49103140772582765,0.575294433643567,50,20000,3387738480686070286
evaluation_only_posthoc_oracle_not_for_tuning,0.4,0.6,all_profiles_mean_within_run,f1_at_7,0.34171428571428564,0.06997589874852844,0.3222857142857143,0.36114285714285704,50,20000,16259563737190279874
evaluation_only_posthoc_oracle_not_for_tuning,0.4,0.6,all_profiles_mean_within_run,ndcg_at_7,0.36909954481263585,0.0820694078963887,0.346745780522992,0.39188913208160586,50,20000,12084306669126818893
evaluation_only_posthoc_oracle_not_for_tuning,0.5,0.5,budget,f1_at_7,0.32285714285714284,0.1347866100078234,0.2857142857142857,0.35999999999999993,50,20000,15240995733799152925
evaluation_only_posthoc_oracle_not_for_tuning,0.5,0.5,budget,ndcg_at_7,0.3536171263081412,0.17541199145533456,0.30606063140712525,0.4022571730897517,50,20000,4583444028943764465
evaluation_only_posthoc_oracle_not_for_tuning,0.5,0.5,quality_seeker,f1_at_7,0.2428571428571428,0.15340098345278477,0.2,0.28571428571428564,50,20000,725292294264580496
evaluation_only_posthoc_oracle_not_for_tuning,0.5,0.5,quality_seeker,ndcg_at_7,0.2579123746137929,0.171174892615931,0.2113968918932106,0.3049834839721787,50,20000,9648742762675417635
evaluation_only_posthoc_oracle_not_for_tuning,0.5,0.5,explorer,f1_at_7,0.31714285714285706,0.16652360929653345,0.2714285714285714,0.3628571428571428,50,20000,10462827026870522203
evaluation_only_posthoc_oracle_not_for_tuning,0.5,0.5,explorer,ndcg_at_7,0.3141124582559275,0.17255579006736643,0.26739370531091594,0.36276733611684153,50,20000,15977185356724563728
evaluation_only_posthoc_oracle_not_for_tuning,0.5,0.5,loyal,f1_at_7,0.3171428571428571,0.16400343349277094,0.2714285714285714,0.36285714285714277,50,20000,850542617404677175
evaluation_only_posthoc_oracle_not_for_tuning,0.5,0.5,loyal,ndcg_at_7,0.34104503535924385,0.16526011451093767,0.2951620101721997,0.3861170253505984,50,20000,11119851587426615873
evaluation_only_posthoc_oracle_not_for_tuning,0.5,0.5,balanced,f1_at_7,0.45428571428571424,0.15726208040251824,0.41142857142857137,0.4971428571428571,50,20000,310833370568742679
evaluation_only_posthoc_oracle_not_for_tuning,0.5,0.5,balanced,ndcg_at_7,0.467423744380675,0.16471028726140918,0.42186742053636805,0.5126990006934636,50,20000,16304619404649845685
evaluation_only_posthoc_oracle_not_for_tuning,0.5,0.5,all_profiles_mean_within_run,f1_at_7,0.3308571428571428,0.07165329082322447,0.31142857142857144,0.35085714285714276,50,20000,2123622572006822047
evaluation_only_posthoc_oracle_not_for_tuning,0.5,0.5,all_profiles_mean_within_run,ndcg_at_7,0.3468221477835561,0.08204463754240905,0.3242782888245138,0.36943865950663063,50,20000,3183797797099107630
evaluation_only_posthoc_oracle_not_for_tuning,0.6,0.4,budget,f1_at_7,0.32285714285714284,0.140831114278254,0.28571428571428564,0.3628571428571427,50,20000,9478839253971498187
evaluation_only_posthoc_oracle_not_for_tuning,0.6,0.4,budget,ndcg_at_7,0.35553152793556714,0.18795657835848145,0.30461656524116487,0.40845830136058486,50,20000,13085697837763466253
evaluation_only_posthoc_oracle_not_for_tuning,0.6,0.4,quality_seeker,f1_at_7,0.2457142857142857,0.14727851879729562,0.20571428571428568,0.28571428571428575,50,20000,14143772716791058181
evaluation_only_posthoc_oracle_not_for_tuning,0.6,0.4,quality_seeker,ndcg_at_7,0.26085346670369364,0.1708496705682058,0.21403501202906844,0.3085026191601099,50,20000,9965639138675114163
evaluation_only_posthoc_oracle_not_for_tuning,0.6,0.4,explorer,f1_at_7,0.28,0.1441920141441281,0.24,0.32,50,20000,11655009892321359811
evaluation_only_posthoc_oracle_not_for_tuning,0.6,0.4,explorer,ndcg_at_7,0.2713982158829735,0.15099900746125827,0.23058648891262074,0.31337623154058897,50,20000,353919593127619036
evaluation_only_posthoc_oracle_not_for_tuning,0.6,0.4,loyal,f1_at_7,0.33428571428571424,0.1488817123252202,0.29428571428571426,0.37428571428571433,50,20000,16615935199974063624
evaluation_only_posthoc_oracle_not_for_tuning,0.6,0.4,loyal,ndcg_at_7,0.3535399895522998,0.1572258297955072,0.30963198998990354,0.3957451658678164,50,20000,151347095322684117
evaluation_only_posthoc_oracle_not_for_tuning,0.6,0.4,balanced,f1_at_7,0.3942857142857142,0.15424035614441783,0.35142857142857137,0.43714285714285706,50,20000,11125181607504445934
evaluation_only_posthoc_oracle_not_for_tuning,0.6,0.4,balanced,ndcg_at_7,0.3989512681286243,0.16585402156723242,0.35280143002776926,0.44388689149286387,50,20000,13702079878321946349
evaluation_only_posthoc_oracle_not_for_tuning,0.6,0.4,all_profiles_mean_within_run,f1_at_7,0.31542857142857145,0.06504027522299456,0.29714285714285715,0.3331428571428571,50,20000,10049674707366022852
evaluation_only_posthoc_oracle_not_for_tuning,0.6,0.4,all_profiles_mean_within_run,ndcg_at_7,0.3280548936406316,0.07281020570101959,0.3084435851793912,0.34821579719954787,50,20000,5126425271054810541
evaluation_only_posthoc_oracle_not_for_tuning,0.7,0.30000000000000004,budget,f1_at_7,0.3171428571428571,0.16900620908378278,0.2714285714285714,0.3628571428571428,50,20000,10681831642476793353
evaluation_only_posthoc_oracle_not_for_tuning,0.7,0.30000000000000004,budget,ndcg_at_7,0.3454869496549804,0.20544127442410945,0.289394271501943,0.40126835433639735,50,20000,7080896913587578071
evaluation_only_posthoc_oracle_not_for_tuning,0.7,0.30000000000000004,quality_seeker,f1_at_7,0.21428571428571427,0.14212641099167467,0.1742857142857143,0.2542857142857143,50,20000,5404993351345665638
evaluation_only_posthoc_oracle_not_for_tuning,0.7,0.30000000000000004,quality_seeker,ndcg_at_7,0.2290800076241388,0.16238899234455859,0.1847920127628614,0.2738200413353334,50,20000,2978466089468569420
