metric,arm_id,candidate,gt_bonus,reward_model,role,method,mean,sample_sd,ci95_lo,ci95_hi,n_catalogs
ndcg_at_7,candidate=full_catalog__bonus=0.00__reward=inclusive_range_fix,full_catalog,0.0,inclusive_range_fix,mandatory_factorial,topsis_only,0.27385693831131375,0.07150961571664347,0.2541363133482889,0.29321056177225735,50
f1_at_7,candidate=full_catalog__bonus=0.20__reward=component_continuous_fix,full_catalog,0.2,component_continuous_fix,mandatory_factorial,hybrid,0.4771428571428571,0.06737785313967011,0.4588571428571428,0.49599999999999994,50
f1_at_7,candidate=full_catalog__bonus=0.20__reward=component_continuous_fix,full_catalog,0.2,component_continuous_fix,mandatory_factorial,popularity,0.15314285714285714,0.07134338944143963,0.13371428571428573,0.1731428571428571,50
f1_at_7,candidate=full_catalog__bonus=0.20__reward=component_continuous_fix,full_catalog,0.2,component_continuous_fix,mandatory_factorial,random,0.02,0.030132291959660003,0.012571428571428572,0.029142857142857137,50
f1_at_7,candidate=full_catalog__bonus=0.20__reward=component_continuous_fix,full_catalog,0.2,component_continuous_fix,mandatory_factorial,rl_only,0.27485714285714286,0.06372839075656539,0.25771428571428573,0.29257142857142854,50
f1_at_7,candidate=full_catalog__bonus=0.20__reward=component_continuous_fix,full_catalog,0.2,component_continuous_fix,mandatory_factorial,topsis_only,0.2594285714285714,0.06292601580604658,0.24171428571428571,0.2765714285714285,50
ndcg_at_7,candidate=full_catalog__bonus=0.20__reward=component_continuous_fix,full_catalog,0.2,component_continuous_fix,mandatory_factorial,hybrid,0.5502411089403908,0.07317683763888827,0.5307195257758517,0.5708066377897041,50
ndcg_at_7,candidate=full_catalog__bonus=0.20__reward=component_continuous_fix,full_catalog,0.2,component_continuous_fix,mandatory_factorial,popularity,0.1836410948944744,0.08847616427656166,0.15913611087830404,0.20754962826261697,50
ndcg_at_7,candidate=full_catalog__bonus=0.20__reward=component_continuous_fix,full_catalog,0.2,component_continuous_fix,mandatory_factorial,random,0.02199944129908902,0.041310998965913184,0.012672175077301475,0.03505844125977381,50
ndcg_at_7,candidate=full_catalog__bonus=0.20__reward=component_continuous_fix,full_catalog,0.2,component_continuous_fix,mandatory_factorial,rl_only,0.36372340017199184,0.06693453390184867,0.3454921036489181,0.3824017333214457,50
ndcg_at_7,candidate=full_catalog__bonus=0.20__reward=component_continuous_fix,full_catalog,0.2,component_continuous_fix,mandatory_factorial,topsis_only,0.27385693831131375,0.07150961571664347,0.2538241693181867,0.293579820660524,50
f1_at_7,candidate=full_catalog__bonus=0.20__reward=implemented_r0,full_catalog,0.2,implemented_r0,mandatory_factorial,hybrid,0.3651428571428571,0.07376132474342526,0.34514285714285703,0.3857142857142856,50
f1_at_7,candidate=full_catalog__bonus=0.20__reward=implemented_r0,full_catalog,0.2,implemented_r0,mandatory_factorial,popularity,0.15314285714285714,0.07134338944143963,0.1337142857142857,0.1731428571428571,50
f1_at_7,candidate=full_catalog__bonus=0.20__reward=implemented_r0,full_catalog,0.2,implemented_r0,mandatory_factorial,random,0.02,0.030132291959660003,0.012571428571428572,0.029142857142857137,50
f1_at_7,candidate=full_catalog__bonus=0.20__reward=implemented_r0,full_catalog,0.2,implemented_r0,mandatory_factorial,rl_only,0.14285714285714285,0.04241757079760515,0.13142857142857142,0.15428571428571428,50
f1_at_7,candidate=full_catalog__bonus=0.20__reward=implemented_r0,full_catalog,0.2,implemented_r0,mandatory_factorial,topsis_only,0.2594285714285714,0.06292601580604658,0.24228571428571422,0.2765714285714285,50
ndcg_at_7,candidate=full_catalog__bonus=0.20__reward=implemented_r0,full_catalog,0.2,implemented_r0,mandatory_factorial,hybrid,0.43707501830046747,0.07889751049263667,0.415273517425886,0.45856574802387823,50
ndcg_at_7,candidate=full_catalog__bonus=0.20__reward=implemented_r0,full_catalog,0.2,implemented_r0,mandatory_factorial,popularity,0.1836410948944744,0.08847616427656166,0.15894877676025163,0.2074434622026631,50
ndcg_at_7,candidate=full_catalog__bonus=0.20__reward=implemented_r0,full_catalog,0.2,implemented_r0,mandatory_factorial,random,0.02199944129908902,0.041310998965913184,0.012521577683000929,0.034830375521217885,50
ndcg_at_7,candidate=full_catalog__bonus=0.20__reward=implemented_r0,full_catalog,0.2,implemented_r0,mandatory_factorial,rl_only,0.2314467624807572,0.06097193235412337,0.21453175523111068,0.2476138298914772,50
ndcg_at_7,candidate=full_catalog__bonus=0.20__reward=implemented_r0,full_catalog,0.2,implemented_r0,mandatory_factorial,topsis_only,0.27385693831131375,0.07150961571664347,0.25412624329623346,0.2932561198081011,50
f1_at_7,candidate=full_catalog__bonus=0.20__reward=inclusive_range_fix,full_catalog,0.2,inclusive_range_fix,mandatory_factorial,hybrid,0.3845714285714285,0.06662194807279788,0.36628571428571427,0.40342857142857136,50
f1_at_7,candidate=full_catalog__bonus=0.20__reward=inclusive_range_fix,full_catalog,0.2,inclusive_range_fix,mandatory_factorial,popularity,0.15314285714285714,0.07134338944143963,0.13314285714285715,0.1731428571428571,50
f1_at_7,candidate=full_catalog__bonus=0.20__reward=inclusive_range_fix,full_catalog,0.2,inclusive_range_fix,mandatory_factorial,random,0.02,0.030132291959660003,0.012571428571428572,0.02914285714285714,50
f1_at_7,candidate=full_catalog__bonus=0.20__reward=inclusive_range_fix,full_catalog,0.2,inclusive_range_fix,mandatory_factorial,rl_only,0.19885714285714282,0.06630863180784413,0.18057142857142858,0.2177142857142857,50
f1_at_7,candidate=full_catalog__bonus=0.20__reward=inclusive_range_fix,full_catalog,0.2,inclusive_range_fix,mandatory_factorial,topsis_only,0.2594285714285714,0.06292601580604658,0.24228571428571424,0.2771428571428571,50
